lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.777675,0.99367085,0.91524172,1,3,0,8.144608,0.22041327
-8.5773761,0.64050404,0.91524172,1,3,0,9.4281001,0.071638452
-8.6375891,0.99500452,0.91524172,1,1,0,8.8547938,0.06979927
-8.5764033,0.88126975,0.91524172,2,3,0,11.635273,0.07166869
-7.1347666,0.95356085,0.91524172,1,3,0,8.5451484,0.15208
-6.7603011,0.99656744,0.91524172,1,3,0,7.1361075,0.23076038
-6.8652726,0.98093388,0.91524172,1,3,0,6.8733466,0.19295612
-6.902955,0.9927081,0.91524172,1,1,0,6.9180533,0.18506729
-6.7757479,0.98452055,0.91524172,1,3,0,7.0292397,0.28017552
-6.8685336,0.94824562,0.91524172,2,3,0,7.0824068,0.19222009
-6.8363259,0.8972235,0.91524172,2,3,0,7.7478461,0.20007468
-7.1769435,0.97443423,0.91524172,2,3,0,7.1785677,0.37568946
-8.163545,0.73888611,0.91524172,1,1,0,8.1881948,0.48680285
-9.1164309,0.74047687,0.91524172,1,1,0,9.4031063,0.55921398
-9.1643622,1,0.91524172,2,7,0,9.1665807,0.056034315
